"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CFL1",1.66215461445896e-74,0.312889313224798,0.993,0.895,3.64859559419886e-70,"0","CFL1"
"NUP205",1.70001240557872e-74,0.89005448000158,0.249,0.063,3.73169723148585e-70,"0","NUP205"
"LPCAT1",1.76789249071897e-74,0.298606290145303,0.552,0.241,3.8807008063772e-70,"0","LPCAT1"
"ADSL",1.77101257767742e-74,0.566289325047324,0.409,0.152,3.8875497092597e-70,"0","ADSL"
"TMTC1",1.83717130819618e-74,3.1204114326456,0.128,0.01,4.03277473862144e-70,"0","TMTC1"
"PNPT1",1.92177780730805e-74,0.651386300114158,0.392,0.142,4.21849446482189e-70,"0","PNPT1"
"SREK1",1.9820963270861e-74,0.296598617390761,0.663,0.31,4.3508996475867e-70,"0","SREK1"
"MDFIC",2.03950658665639e-74,0.81070210943704,0.262,0.07,4.47692090836944e-70,"0","MDFIC"
"NELFCD",2.13493373387779e-74,0.555305582786777,0.512,0.212,4.68639303923514e-70,"0","NELFCD"
"LRIG3",2.22759543758899e-74,2.50113727482634,0.15,0.018,4.88979474505159e-70,"0","LRIG3"
"GMDS",2.30349947904779e-74,1.20629304867997,0.228,0.053,5.05641170645781e-70,"0","GMDS"
"PIAS2",2.49538219533012e-74,0.629688597825893,0.455,0.181,5.47761345696914e-70,"0","PIAS2"
"IDH3B",2.59474977530314e-74,0.517228741760228,0.503,0.213,5.69573523176793e-70,"0","IDH3B"
"FGF14",2.62808597830149e-74,2.36464687171635,0.154,0.019,5.76891153096959e-70,"0","FGF14"
"OTUD6B-AS1",2.66253257558933e-74,0.338390862507324,0.655,0.307,5.84452525667615e-70,"0","OTUD6B-AS1"
"ARVCF",2.68250448768259e-74,1.79732162204884,0.167,0.025,5.88836560091204e-70,"0","ARVCF"
"RCHY1",2.8058246834342e-74,0.472838019793013,0.475,0.19,6.15906576260642e-70,"0","RCHY1"
"COPS5",2.87521958843361e-74,0.344454506204748,0.666,0.313,6.31139451857061e-70,"0","COPS5"
"ATP1A2",3.03227552217679e-74,2.46509815619796,0.144,0.015,6.65614799873027e-70,"0","ATP1A2"
"ZNF544",3.33240256599145e-74,0.948805474448831,0.226,0.053,7.31495687260783e-70,"0","ZNF544"
"IFT46",3.36383298385069e-74,1.24393067921725,0.216,0.048,7.38394978285064e-70,"0","IFT46"
"ZNF121",3.51773939339765e-74,1.09165783125796,0.266,0.073,7.72178974244718e-70,"0","ZNF121"
"ACTN4",3.63683326095875e-74,0.28484025712941,0.793,0.398,7.98321269113055e-70,"0","ACTN4"
"ATP5MC3",3.86652678480227e-74,0.34799270028965,0.937,0.672,8.48741294531945e-70,"0","ATP5MC3"
"GARS-DT",4.16998971824361e-74,0.409085611121919,0.36,0.122,9.15354443051656e-70,"0","GARS-DT"
"AC097534.2",4.17984033370965e-74,0.639821111980222,0.281,0.08,9.17516751652605e-70,"0","AC097534.2"
"CREB1",4.19975029437211e-74,0.538422643172633,0.444,0.174,9.21887187117623e-70,"0","CREB1"
"NEDD1",4.46341744788204e-74,0.98850116098787,0.278,0.079,9.79764763984587e-70,"0","NEDD1"
"TTC37",4.91394052907167e-74,0.421681013488043,0.529,0.224,1.07865908553652e-69,"0","TTC37"
"TMEM259",5.57489447450867e-74,0.374954699555807,0.827,0.456,1.2237450860994e-69,"0","TMEM259"
"LZTS3",5.59756415953962e-74,1.25519843688422,0.197,0.038,1.22872130866054e-69,"0","LZTS3"
"RHBDF1",5.62543511410373e-74,1.43670594585219,0.177,0.03,1.23483926189691e-69,"0","RHBDF1"
"MCCC1",6.03827960865622e-74,0.845847714419382,0.27,0.074,1.32546275689613e-69,"0","MCCC1"
"NUCKS1",6.29645578458631e-74,0.287975907780336,0.884,0.495,1.38213500927454e-69,"0","NUCKS1"
"TRIM27",6.51720498482679e-74,0.49753459421879,0.359,0.124,1.43059166621933e-69,"0","TRIM27"
"CPLANE1",6.98303289858111e-74,0.71927891882018,0.305,0.095,1.53284555156754e-69,"0","CPLANE1"
"PPP1R1C",7.18331065138512e-74,1.48197595108104,0.18,0.031,1.57680852108555e-69,"0","PPP1R1C"
"MIB1",7.27677553625132e-74,0.439168479442638,0.418,0.156,1.59732499796253e-69,"0","MIB1"
"FANCF",7.2859797427069e-74,1.1899497205793,0.222,0.05,1.59934541332159e-69,"0","FANCF"
"LRRC40",7.42660220917472e-74,0.506194415982024,0.351,0.118,1.63021345093594e-69,"0","LRRC40"
"NT5DC3",8.04179457148662e-74,1.54399964277583,0.162,0.023,1.76525432638703e-69,"0","NT5DC3"
"CCT6A",8.172564879675e-74,0.46796177525992,0.81,0.453,1.79395971673746e-69,"0","CCT6A"
"PPP1R3C",8.26985429686075e-74,1.08634173575343,0.171,0.027,1.8153157167039e-69,"0","PPP1R3C"
"TNIP2",8.47111514135693e-74,0.522025325311177,0.492,0.203,1.85949448467926e-69,"0","TNIP2"
"VTA1",8.48164753086537e-74,0.54138235810878,0.369,0.129,1.86180644950026e-69,"0","VTA1"
"KCTD15",8.88078685960338e-74,1.750009453432,0.18,0.031,1.94942152355154e-69,"0","KCTD15"
"NDUFB2",9.05591162108923e-74,0.32990173266331,0.948,0.691,1.9878631599453e-69,"0","NDUFB2"
"MIIP",9.55084488489969e-74,0.738311262473398,0.422,0.165,2.09650596068433e-69,"0","MIIP"
"RAD51D",9.90795089348221e-74,1.27161158449476,0.256,0.068,2.17489430062828e-69,"0","RAD51D"
"AIMP1",1.00520175683474e-73,0.318442516286433,0.683,0.329,2.20651837642794e-69,"0","AIMP1"
"CMTR2",1.09037396461631e-73,0.536089225697147,0.359,0.122,2.39347988972926e-69,"0","CMTR2"
"TTC28",1.12136313699288e-73,1.44856029355896,0.228,0.054,2.46150422201308e-69,"0","TTC28"
"DDX41",1.19795054307327e-73,0.39275762635637,0.419,0.162,2.62962123710013e-69,"0","DDX41"
"SLF1",1.20733161578111e-73,1.05177895624492,0.242,0.061,2.65021362980111e-69,"0","SLF1"
"LINC01473",1.25297002940712e-73,1.40927716406051,0.198,0.039,2.75039451155157e-69,"0","LINC01473"
"SALL3",1.2742769458404e-73,1.36211445896722,0.196,0.039,2.79716532381425e-69,"0","SALL3"
"ELP2",1.31426638698107e-73,0.350707776688207,0.436,0.168,2.88494614606215e-69,"0","ELP2"
"THAP7",1.37707959910302e-73,0.483104056367329,0.447,0.174,3.02282742799105e-69,"0","THAP7"
"ISYNA1",1.39878232058384e-73,0.384760589585874,0.282,0.081,3.07046707191358e-69,"0","ISYNA1"
"EIF4EBP1",1.42287460447537e-73,0.507936445993966,0.589,0.28,3.12335204428388e-69,"0","EIF4EBP1"
"PRPH",1.42403928709965e-73,3.29656767627452,0.12,0.007,3.12590863911244e-69,"0","PRPH"
"NFKBIL1",1.45747277179336e-73,0.474021003529247,0.411,0.153,3.1992984813636e-69,"0","NFKBIL1"
"AC027644.3",1.47531067572021e-73,0.750420330878842,0.364,0.128,3.23845446427344e-69,"0","AC027644.3"
"B3GALNT2",1.63481943381979e-73,0.943324198316894,0.299,0.092,3.58859213917782e-69,"0","B3GALNT2"
"RSPH1",1.64706733145394e-73,1.71135927489682,0.123,0.008,3.61547749927454e-69,"0","RSPH1"
"MRPS7",1.65697070015584e-73,0.329609869665236,0.646,0.301,3.63721638391209e-69,"0","MRPS7"
"SEC62",1.69984757905432e-73,0.34932810711582,0.831,0.469,3.73133542078214e-69,"0","SEC62"
"PITPNM2",1.76786975375682e-73,2.51871723483843,0.138,0.014,3.88065089647161e-69,"0","PITPNM2"
"RSRP1",1.80017363543153e-73,0.300694253901454,0.881,0.508,3.95156114713576e-69,"0","RSRP1"
"LRRC61",1.84349838383798e-73,1.61212121455531,0.185,0.033,4.04666330236276e-69,"0","LRRC61"
"PDHX",1.88680484041477e-73,0.71985717913441,0.328,0.107,4.14172530519446e-69,"0","PDHX"
"WTAP",2.09380503008121e-73,0.592677176998512,0.875,0.574,4.59611142153126e-69,"0","WTAP"
"SNRNP27",2.15887041368992e-73,0.387634061016299,0.526,0.224,4.73893644509075e-69,"0","SNRNP27"
"BIVM",2.19278368129584e-73,1.34439394477243,0.216,0.048,4.81337945881249e-69,"0","BIVM"
"HAP1",2.19816734776141e-73,1.09637136418016,0.246,0.062,4.82519714507108e-69,"0","HAP1"
"MAPK1IP1L",2.48507087211729e-73,0.345113662203944,0.664,0.32,5.45497907138467e-69,"0","MAPK1IP1L"
"SNRPA1",2.56195014223956e-73,0.348987309954031,0.52,0.223,5.62373675723007e-69,"0","SNRPA1"
"PDZRN3",2.95202309773484e-73,2.21713638351988,0.163,0.024,6.47998590183775e-69,"0","PDZRN3"
"RECQL",3.0918722447662e-73,0.344887624343778,0.433,0.166,6.78696876448628e-69,"0","RECQL"
"KCTD6",3.13899308564031e-73,1.02446556500556,0.256,0.068,6.89040372228905e-69,"0","KCTD6"
