"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BAX",1.64940958502281e-15,0.612055779057515,0.812,0.587,3.62061898008357e-11,"4","BAX"
"GPC11",1.66537286198842e-15,0.530748517015489,0.693,0.388,3.65565996935079e-11,"4","GPC1"
"SNHG161",1.66653855687989e-15,0.642814005137734,0.653,0.363,3.65821878620704e-11,"4","SNHG16"
"RARB1",1.6834139918291e-15,1.57088211630111,0.193,0.056,3.69526205346405e-11,"4","RARB"
"EHMT11",1.69654145408678e-15,0.723246557753472,0.411,0.173,3.72407814586588e-11,"4","EHMT1"
"CRKL3",1.69880617165325e-15,1.01944333031295,0.426,0.188,3.72904942739604e-11,"4","CRKL"
"SNX41",1.70213249119417e-15,1.05854758475103,0.535,0.276,3.73635103142032e-11,"4","SNX4"
"MED12L",1.75072685788095e-15,2.12845491281452,0.153,0.038,3.84302052573448e-11,"4","MED12L"
"SLC25A172",1.75820971200359e-15,1.03263097532624,0.396,0.172,3.85944613881908e-11,"4","SLC25A17"
"ZNF6772",1.7764188282657e-15,0.775755789179219,0.446,0.198,3.89941696992604e-11,"4","ZNF677"
"ECSIT2",1.77750877869887e-15,0.988304389570109,0.51,0.245,3.90180952012188e-11,"4","ECSIT"
"ERF2",1.77772523866065e-15,0.822727356696337,0.48,0.223,3.90228467138399e-11,"4","ERF"
"ING51",1.84372939380716e-15,1.03751709265214,0.396,0.172,4.0471703923461e-11,"4","ING5"
"SNRPA12",1.84528833509024e-15,0.714259621394253,0.599,0.322,4.05059242435659e-11,"4","SNRPA1"
"PTPRG2",1.89310405726311e-15,1.06593276344774,0.337,0.134,4.15555271609825e-11,"4","PTPRG"
"PNMA22",1.91657379183577e-15,1.30968901459101,0.401,0.186,4.2070711304587e-11,"4","PNMA2"
"ZNF781",1.94409558549731e-15,1.99170053953077,0.144,0.034,4.26748421972514e-11,"4","ZNF781"
"TAF41",1.94809765744075e-15,1.1740560123872,0.203,0.059,4.27626916784818e-11,"4","TAF4"
"HSD17B103",1.96194452123222e-15,0.643854686455137,0.792,0.51,4.30666441855685e-11,"4","HSD17B10"
"PRKRA3",1.9743153414174e-15,0.740526695771816,0.683,0.39,4.33381960594533e-11,"4","PRKRA"
"ZC3H132",1.98990486148877e-15,0.548821499798065,0.609,0.311,4.36804016145400e-11,"4","ZC3H13"
"ZNF2071",1.99278446109738e-15,0.627581508545801,0.812,0.557,4.37436117055486e-11,"4","ZNF207"
"FBXO212",2.02585642221777e-15,0.712308410983812,0.614,0.32,4.44695743241023e-11,"4","FBXO21"
"LRRC472",2.17250667244741e-15,0.780409962012902,0.52,0.252,4.76886939668931e-11,"4","LRRC47"
"BPNT11",2.1864306307283e-15,1.2520741907994,0.292,0.107,4.79943387751169e-11,"4","BPNT1"
"LDLRAD31",2.36258514399818e-15,0.716439772285294,0.396,0.166,5.18611064959041e-11,"4","LDLRAD3"
"NELFA2",2.40655571443894e-15,0.913444457910111,0.381,0.161,5.28263044876491e-11,"4","NELFA"
"GPATCH81",2.43451895277809e-15,0.938247709960254,0.5,0.248,5.34401255324319e-11,"4","GPATCH8"
"TUFM2",2.44353800371034e-15,0.567005130001759,0.876,0.623,5.36381027194456e-11,"4","TUFM"
"TNR",2.55638160055108e-15,1.74032809155117,0.129,0.028,5.61151325136968e-11,"4","TNR"
"PAM162",2.64966641819254e-15,0.836666468325031,0.574,0.311,5.81628275457445e-11,"4","PAM16"
"CRLS11",2.66165743616806e-15,0.878249048758245,0.574,0.3,5.84260423813251e-11,"4","CRLS1"
"SLC35A31",2.74736346204423e-15,0.897473192325417,0.426,0.194,6.0307375355333e-11,"4","SLC35A3"
"GUSB",2.75154867233208e-15,0.95102352727699,0.574,0.308,6.03992449063614e-11,"4","GUSB"
"MRPS122",2.78105987737632e-15,0.662209077736918,0.748,0.453,6.10470453682877e-11,"4","MRPS12"
"NDUFAF82",2.82196161484085e-15,0.806847768551797,0.713,0.439,6.19448794073715e-11,"4","NDUFAF8"
"XPO71",2.84526290474833e-15,1.10691370934517,0.287,0.105,6.24563660221306e-11,"4","XPO7"
"NOL122",2.84913477073099e-15,0.996061193987659,0.47,0.226,6.25413573523159e-11,"4","NOL12"
"BAP12",2.86491612241696e-15,1.19168595759356,0.366,0.156,6.28877738031746e-11,"4","BAP1"
"RPIA1",2.88543983852952e-15,1.09315833102871,0.371,0.155,6.33382898955614e-11,"4","RPIA"
"ZNF6642",2.89153956753792e-15,0.807514264423826,0.446,0.201,6.34721850470248e-11,"4","ZNF664"
"PSMB62",2.90971689933097e-15,0.517514513109159,0.871,0.688,6.38711956572142e-11,"4","PSMB6"
"LINC00599",2.91584985989754e-15,2.06317551045853,0.109,0.021,6.4005820274611e-11,"4","LINC00599"
"PRRC2A2",2.92629530783986e-15,0.747086363400107,0.609,0.335,6.42351083023927e-11,"4","PRRC2A"
"SLC39A31",2.97277428084196e-15,0.855758188578308,0.644,0.364,6.52553682387618e-11,"4","SLC39A3"
"METTL41",3.05670571130087e-15,1.40925806420524,0.267,0.096,6.70977470687653e-11,"4","METTL4"
"SMARCAD12",3.26221209780092e-15,1.07658095392714,0.361,0.151,7.16088177588279e-11,"4","SMARCAD1"
"TSR12",3.36119338937646e-15,1.2584255563609,0.371,0.161,7.37815560902027e-11,"4","TSR1"
"ASAP21",3.41505397225288e-15,1.28429002519361,0.243,0.08,7.49638497449229e-11,"4","ASAP2"
"POLDIP22",3.45121840174197e-15,0.875975860308746,0.584,0.32,7.5757695136638e-11,"4","POLDIP2"
"PTGFRN1",3.47983921541656e-15,1.05517647447635,0.421,0.194,7.63859506176089e-11,"4","PTGFRN"
"LINC00237",3.49337802167777e-15,2.01292736765617,0.114,0.023,7.66831409538488e-11,"4","LINC00237"
"LYPD6",3.5251136913832e-15,2.09999759194093,0.114,0.023,7.73797706395527e-11,"4","LYPD6"
"CLNS1A2",3.52992012554041e-15,0.573909916498798,0.782,0.505,7.74852766757375e-11,"4","CLNS1A"
"IP6K23",3.53352170083508e-15,0.706083297562655,0.663,0.377,7.75643348550309e-11,"4","IP6K2"
"SMARCA52",3.56732041519779e-15,0.672937440450929,0.777,0.515,7.83062504340066e-11,"4","SMARCA5"
"SNHG302",3.65458014692649e-15,0.952415889432264,0.441,0.199,8.02216888051834e-11,"4","SNHG30"
"CAAP11",3.85168150811844e-15,1.01987681535203,0.327,0.127,8.4548260784708e-11,"4","CAAP1"
"CHCHD62",3.86016493519424e-15,1.02149301213228,0.441,0.199,8.47344804924488e-11,"4","CHCHD6"
"ZNF1212",3.89183433053575e-15,1.09543599827721,0.337,0.136,8.54296553895903e-11,"4","ZNF121"
"ZNF2341",3.94171124657173e-15,1.67268569974439,0.228,0.074,8.65245035734961e-11,"4","ZNF234"
"TRA2B1",3.99624954650813e-15,0.602683526269968,0.856,0.626,8.77216737954e-11,"4","TRA2B"
"NUP431",4.02435901327912e-15,1.26470025882139,0.228,0.073,8.833870470049e-11,"4","NUP43"
"WDR891",4.03145252430221e-15,0.887747773627528,0.223,0.069,8.84944143609579e-11,"4","WDR89"
"CNIH42",4.03940369512792e-15,0.708517935274794,0.708,0.444,8.86689505117531e-11,"4","CNIH4"
"COQ72",4.15410381300281e-15,1.0313027996154,0.317,0.123,9.11867327992246e-11,"4","COQ7"
"AHCY2",4.2980634019832e-15,1.16352224480687,0.535,0.281,9.43467897369331e-11,"4","AHCY"
"SLX4",4.30557923407033e-15,1.60283515783933,0.149,0.036,9.45117697670778e-11,"4","SLX4"
"ASTN11",4.38745874663657e-15,1.27068569666889,0.262,0.09,9.63091069474193e-11,"4","ASTN1"
"ZUP1",4.40151780488331e-15,0.980421229898895,0.347,0.139,9.66177173349936e-11,"4","ZUP1"
"SYP1",4.43670217939737e-15,1.05043051439659,0.302,0.112,9.73900495399516e-11,"4","SYP"
"TAF21",4.4758570534191e-15,0.895065380225454,0.347,0.138,9.82495381796026e-11,"4","TAF2"
"HNRNPLL2",4.56971854245249e-15,0.618912196112956,0.465,0.212,1.00309891725375e-10,"4","HNRNPLL"
"R3HDM41",4.57439317460109e-15,0.965239482780618,0.485,0.231,1.00412504575669e-10,"4","R3HDM4"
"CFDP13",4.605071011632e-15,0.583529908850812,0.668,0.374,1.01085913776334e-10,"4","CFDP1"
"THRAP31",4.74460976885535e-15,0.698727284122991,0.683,0.412,1.04148929036144e-10,"4","THRAP3"
"DNAJA32",4.7820488377199e-15,0.929864354146818,0.421,0.19,1.04970754036789e-10,"4","DNAJA3"
"CCNG22",4.78800050067988e-15,1.15113502823957,0.426,0.198,1.05101398990424e-10,"4","CCNG2"
"AC004158.11",4.82212658804282e-15,1.21439674402145,0.213,0.065,1.05850500734128e-10,"4","AC004158.1"
"IL17RB",4.90233304978556e-15,2.28764099006292,0.149,0.037,1.07611112775843e-10,"4","IL17RB"
"APTX2",4.91482065137134e-15,0.77332864300432,0.49,0.233,1.07885228118252e-10,"4","APTX"
"RAB39A",4.91627699566585e-15,1.64767314419083,0.183,0.052,1.07917196331861e-10,"4","RAB39A"
"ALMS1",4.98246941511285e-15,1.18653278040769,0.208,0.064,1.09370186131142e-10,"4","ALMS1"
"CALM11",4.99046887803986e-15,0.408127440701917,0.98,0.838,1.09545782341853e-10,"4","CALM1"
"HOXB71",5.01133568734157e-15,1.54364437792231,0.228,0.074,1.10003829672835e-10,"4","HOXB7"
"ACOT72",5.03155003925461e-15,0.855470613507921,0.421,0.183,1.10447554911678e-10,"4","ACOT7"
"AC096576.6",5.05040760438257e-15,2.4800518011897,0.109,0.021,1.10861497323802e-10,"4","AC096576.6"
"PSMC11",5.20846353656672e-15,0.793027995643253,0.733,0.457,1.14330983091176e-10,"4","PSMC1"
"C12orf292",5.23955849562788e-15,0.713761942246678,0.495,0.239,1.15013548537528e-10,"4","C12orf29"
"INTU2",5.24405453874975e-15,1.14300976881668,0.307,0.117,1.15112241180096e-10,"4","INTU"
"PEX15",5.27972011872982e-15,0.898153150189212,0.376,0.156,1.15895136326238e-10,"4","PEX1"
"ARHGEF401",5.28315456748092e-15,1.07285665641571,0.381,0.162,1.15970525910774e-10,"4","ARHGEF40"
"KLC12",5.37021569508667e-15,0.59941541699032,0.663,0.377,1.17881604722847e-10,"4","KLC1"
"SRRM11",5.38097641661991e-15,0.528642859364714,0.817,0.563,1.18117813321224e-10,"4","SRRM1"
"PSMD122",5.3946104747572e-15,0.522662916410436,0.752,0.462,1.18417094531395e-10,"4","PSMD12"
"ZNF2111",5.40120467783656e-15,1.1489139652357,0.327,0.129,1.1856184388319e-10,"4","ZNF211"
"ZNF8271",5.47402849143261e-15,1.10559127536057,0.376,0.162,1.20160399415437e-10,"4","ZNF827"
"C19orf252",5.48573109960603e-15,0.800742944476846,0.678,0.397,1.20417283367452e-10,"4","C19orf25"
"ADGRB1",5.51284917347791e-15,2.18432328476836,0.149,0.037,1.21012552207014e-10,"4","ADGRB1"
"ZNF1121",5.5873964507902e-15,1.23147867047916,0.208,0.063,1.22648939491296e-10,"4","ZNF112"
"B4GALT31",5.6415567477379e-15,0.819188800950111,0.396,0.168,1.23837812169595e-10,"4","B4GALT3"
"CYB5B2",5.70071251263981e-15,0.781241072928252,0.574,0.296,1.25136340364956e-10,"4","CYB5B"
"MRPL231",5.70661889429419e-15,0.750755854290369,0.584,0.312,1.25265991348652e-10,"4","MRPL23"
"MTCH22",5.8082983767069e-15,0.703515091784261,0.728,0.453,1.27497957667093e-10,"4","MTCH2"
"COA71",5.86685902388093e-15,0.935285019614841,0.267,0.093,1.2878342243321e-10,"4","COA7"
"RNGTT",5.94213403406878e-15,1.0191123082595,0.317,0.123,1.30435784181844e-10,"4","RNGTT"
"MTX23",6.07528006364147e-15,0.753958535037328,0.594,0.316,1.33358472676994e-10,"4","MTX2"
"PDIA61",6.09032159449653e-15,0.544273566416613,0.901,0.664,1.33688649320793e-10,"4","PDIA6"
"PSMA3-AS1",6.17378872005787e-15,0.489381358006084,0.584,0.295,1.3552083619399e-10,"4","PSMA3-AS1"
"LYRM41",6.38266143030588e-15,0.936724481059208,0.441,0.207,1.40105801056644e-10,"4","LYRM4"
"CCT31",6.41205647061968e-15,0.559762418187043,0.822,0.597,1.40751051586573e-10,"4","CCT3"
"TET11",6.41211215516072e-15,1.15806835416561,0.213,0.065,1.40752273917933e-10,"4","TET1"
"RHPN21",6.43842354260365e-15,1.25243972396495,0.347,0.143,1.41329835183693e-10,"4","RHPN2"
"AC064875.1",6.45205362989479e-15,2.37727241378836,0.134,0.031,1.41629029229821e-10,"4","AC064875.1"
"GABPB1",6.47188444441508e-15,1.00603235692263,0.342,0.137,1.42064335439355e-10,"4","GABPB1"
"TRAPPC2B2",6.5313487523173e-15,0.70449870077425,0.609,0.331,1.43369636462117e-10,"4","TRAPPC2B"
"THOC61",6.65427676275263e-15,1.15364958528787,0.406,0.182,1.46068029219183e-10,"4","THOC6"
"ISOC21",6.71585213747993e-15,0.871490974950276,0.663,0.399,1.47419670269822e-10,"4","ISOC2"
"CXXC11",6.72242940013066e-15,0.759099275548411,0.416,0.183,1.47564047762268e-10,"4","CXXC1"
"ZMAT52",6.86643602243447e-15,0.903307187127779,0.525,0.265,1.50725137128459e-10,"4","ZMAT5"
"MAP3K1",6.91781536540814e-15,0.87058240415121,0.252,0.085,1.51852965086074e-10,"4","MAP3K1"
"ZNF4932",7.02628253166507e-15,0.87121211578609,0.431,0.201,1.5423392785258e-10,"4","ZNF493"
"LRRC4B2",7.03300482007388e-15,1.05537930494072,0.455,0.214,1.54381488805442e-10,"4","LRRC4B"
"ZCCHC31",7.0334491133826e-15,0.877026072094592,0.292,0.106,1.54391241487861e-10,"4","ZCCHC3"
"PLAAT1",7.1377570285304e-15,2.5260007011481,0.144,0.035,1.56680904533271e-10,"4","PLAAT1"
"PRKD11",7.26103676875505e-15,1.41980803395715,0.262,0.093,1.59387018110942e-10,"4","PRKD1"
"PPWD12",7.33634718214871e-15,1.01182068296311,0.322,0.125,1.61040156995346e-10,"4","PPWD1"
"TTI11",7.54870411033722e-15,1.23522394063312,0.238,0.079,1.65701603926012e-10,"4","TTI1"
"THOC12",7.7216525418985e-15,0.697120788401335,0.441,0.198,1.69497994947214e-10,"4","THOC1"
"CCNJ",7.74016001705478e-15,1.74215639412334,0.139,0.033,1.6990425253437e-10,"4","CCNJ"
"TANC21",7.85026078185844e-15,0.999395312090972,0.52,0.255,1.72321074422575e-10,"4","TANC2"
"TAX1BP12",7.85780130223033e-15,0.614304065775224,0.822,0.588,1.72486596385258e-10,"4","TAX1BP1"
"MRPL171",8.40638968386493e-15,0.763069052290665,0.589,0.312,1.84528659950519e-10,"4","MRPL17"
"RRP1B1",8.57337123556368e-15,0.899080488816477,0.351,0.145,1.88194071991858e-10,"4","RRP1B"
"ZNF77",8.65181803379232e-15,1.36956040023186,0.163,0.043,1.89916057659775e-10,"4","ZNF77"
"PAGR11",8.69391917686251e-15,1.06276319978607,0.515,0.259,1.90840219851309e-10,"4","PAGR1"
"SNX51",9.0264551914648e-15,0.804948560444781,0.634,0.366,1.98139717907844e-10,"4","SNX5"
"SPIN12",9.28180790833148e-15,0.760202248467685,0.53,0.267,2.03744965395784e-10,"4","SPIN1"
"ORAI21",9.38851896867117e-15,0.90682229997998,0.535,0.276,2.06087379881301e-10,"4","ORAI2"
"ATPSCKMT1",9.42504047319683e-15,1.78741763287896,0.233,0.079,2.06889063427144e-10,"4","ATPSCKMT"
"TUBA1C1",9.53489785459112e-15,1.19365481365986,0.713,0.532,2.0930054280613e-10,"4","TUBA1C"
"RBM62",9.68184360755344e-15,0.554117458891812,0.668,0.363,2.12526149029405e-10,"4","RBM6"
"HOXA31",9.71657094653345e-15,1.59456602306767,0.168,0.046,2.13288448847356e-10,"4","HOXA3"
"PHGDH2",9.85674458899218e-15,0.632945193443447,0.609,0.314,2.16365400472967e-10,"4","PHGDH"
"CCND31",9.90025049621432e-15,0.704681700332387,0.525,0.266,2.17320398642401e-10,"4","CCND3"
"CEP131",9.95364427416115e-15,2.07375650632536,0.178,0.051,2.18492445462111e-10,"4","CEP131"
"DDX201",1.00669583123777e-14,1.28124627561457,0.243,0.083,2.20979801915003e-10,"4","DDX20"
"NME72",1.0237182668557e-14,1.08807724124462,0.475,0.225,2.24716396757494e-10,"4","NME7"
"GATAD2B2",1.02531165818836e-14,0.93470173965534,0.386,0.164,2.25066162088926e-10,"4","GATAD2B"
"GTF2F21",1.02672159970695e-14,0.768838081888084,0.554,0.296,2.25375658351673e-10,"4","GTF2F2"
"AC110597.1",1.02843703906407e-14,1.63371186155359,0.104,0.02,2.25752214444953e-10,"4","AC110597.1"
"NSRP11",1.03139755571924e-14,0.67976274426566,0.48,0.24,2.26402077455929e-10,"4","NSRP1"
"NDUFS62",1.04246327688801e-14,0.544819081570569,0.876,0.641,2.28831113909686e-10,"4","NDUFS6"
"TTYH31",1.05400913024974e-14,0.629162236527185,0.678,0.39,2.3136554418112e-10,"4","TTYH3"
"ATP13A41",1.06387439263811e-14,1.40654822163703,0.262,0.093,2.33531067927992e-10,"4","ATP13A4"
"THAP51",1.06695045377036e-14,0.912294629728333,0.48,0.234,2.34206294107131e-10,"4","THAP5"
"ENSA",1.06956314094633e-14,0.644051808540821,0.757,0.488,2.34779805069129e-10,"4","ENSA"
"ABCE12",1.10082031358595e-14,0.703083230350156,0.629,0.353,2.41641067035253e-10,"4","ABCE1"
"METTL7B2",1.11796571237199e-14,1.81378028336334,0.277,0.107,2.45404653522777e-10,"4","METTL7B"
"EED2",1.12630232577895e-14,0.908450564953507,0.386,0.17,2.47234623531738e-10,"4","EED"
"WSB22",1.15912525618813e-14,0.601995004082178,0.708,0.407,2.54439584985856e-10,"4","WSB2"
"DPF32",1.16396362610899e-14,1.15577865870013,0.342,0.142,2.55501655567184e-10,"4","DPF3"
"NTMT11",1.17155179737742e-14,0.654585123911137,0.733,0.413,2.57167335042318e-10,"4","NTMT1"
"CHD1",1.17392710179744e-14,0.540297716177273,0.678,0.394,2.57688738115557e-10,"4","CHD1"
"PPP1R352",1.17903641728285e-14,0.764248994614682,0.535,0.28,2.58810283957759e-10,"4","PPP1R35"
"FAM193A2",1.19085296141859e-14,0.825381793242193,0.356,0.146,2.61404133560995e-10,"4","FAM193A"
"LINC010032",1.19816548777086e-14,0.82864291140635,0.515,0.256,2.63009306220581e-10,"4","LINC01003"
"QTRT12",1.20362564234126e-14,0.736514277235293,0.683,0.387,2.64207864750330e-10,"4","QTRT1"
"DPM21",1.23067884771905e-14,0.795946764249696,0.634,0.363,2.7014631386281e-10,"4","DPM2"
"RNF1572",1.26165626904222e-14,0.861727850520144,0.282,0.103,2.76946167617458e-10,"4","RNF157"
"RXYLT11",1.28171200023443e-14,1.03494781106235,0.436,0.205,2.8134860117146e-10,"4","RXYLT1"
"PDGFRL1",1.29185194797177e-14,1.62143237493891,0.208,0.065,2.83574421099284e-10,"4","PDGFRL"
"TXNL4A2",1.3017415277948e-14,0.641628792588007,0.832,0.568,2.85745282766237e-10,"4","TXNL4A"
"POLG21",1.305761639035e-14,1.00977141053594,0.322,0.129,2.86627737384573e-10,"4","POLG2"
"TMEM178B1",1.309937882781e-14,1.61021587943351,0.267,0.1,2.87544464649257e-10,"4","TMEM178B"
"CKAP42",1.34330268159195e-14,0.950766327738847,0.46,0.221,2.9486837163625e-10,"4","CKAP4"
"PWWP2A2",1.35544776000456e-14,0.679798728707385,0.446,0.203,2.975343377986e-10,"4","PWWP2A"
"TRAF21",1.36422345858923e-14,1.41380317437607,0.287,0.109,2.99460691394923e-10,"4","TRAF2"
"PSTK1",1.38169044708348e-14,0.932837497758276,0.248,0.083,3.03294870039294e-10,"4","PSTK"
"ZNF6751",1.38579282123864e-14,1.1873541757127,0.272,0.1,3.04195382190093e-10,"4","ZNF675"
"PHB22",1.40182671567251e-14,0.54339980644675,0.792,0.51,3.07714982357273e-10,"4","PHB2"
"CUL12",1.42484825977038e-14,0.854627902635006,0.49,0.243,3.12768441502197e-10,"4","CUL1"
"PLA2G12A1",1.43401446653181e-14,0.892312532295083,0.49,0.243,3.14780515548398e-10,"4","PLA2G12A"
"ZNF6601",1.43458971327437e-14,1.50814407809891,0.188,0.055,3.14906787960858e-10,"4","ZNF660"
"PPP1CA",1.46727696817028e-14,0.724548761272037,0.777,0.533,3.22081967283058e-10,"4","PPP1CA"
"ACKR31",1.47991942551995e-14,0.544808905466907,0.54,0.261,3.24857113095885e-10,"4","ACKR3"
"TSFM2",1.49356649560849e-14,0.806233250534769,0.46,0.217,3.2785278145102e-10,"4","TSFM"
"NR2F1-AS12",1.49584586856806e-14,1.05080700664924,0.366,0.159,3.28353126609375e-10,"4","NR2F1-AS1"
"LSM61",1.53762107886923e-14,0.723223148248071,0.599,0.325,3.37523203022585e-10,"4","LSM6"
"SHMT21",1.59269032065128e-14,0.84873494824442,0.45,0.211,3.49611452286162e-10,"4","SHMT2"
"JPX2",1.59672652887039e-14,0.784699418913139,0.663,0.378,3.5049744035234e-10,"4","JPX"
"ZNF713",1.60172982233227e-14,1.83592753916202,0.163,0.044,3.51595713300157e-10,"4","ZNF713"
"METTL2A1",1.61880716774197e-14,1.14731645168081,0.317,0.125,3.5534436139104e-10,"4","METTL2A"
"PMPCB2",1.62221731172988e-14,0.655470796383943,0.639,0.365,3.56092922097826e-10,"4","PMPCB"
"MPLKIP2",1.63386402482051e-14,0.723132206782247,0.698,0.428,3.58649492088351e-10,"4","MPLKIP"
"EPN11",1.64082855235821e-14,0.739903955775165,0.728,0.443,3.60178275528151e-10,"4","EPN1"
"DDA12",1.64316343761239e-14,0.765388730253718,0.658,0.385,3.60690806190295e-10,"4","DDA1"
"GPD21",1.65095946518677e-14,0.948292962239497,0.361,0.152,3.62402112203149e-10,"4","GPD2"
"RBM23",1.65909867008194e-14,0.777470748065334,0.475,0.233,3.64188749069687e-10,"4","RBM23"
"BCL7A",1.67834442627047e-14,1.67221769896626,0.173,0.049,3.6841338501063e-10,"4","BCL7A"
"COPS7B3",1.68956158335896e-14,0.705842626127023,0.366,0.151,3.70875663163126e-10,"4","COPS7B"
"POC5",1.71878691070032e-14,1.997068520147,0.178,0.051,3.77290914767826e-10,"4","POC5"
"CDK142",1.74463948095562e-14,0.919640361475289,0.356,0.153,3.82965812464568e-10,"4","CDK14"
"MIR4435-2HG1",1.76684029714118e-14,0.71376376213265,0.347,0.14,3.8783911362546e-10,"4","MIR4435-2HG"
"BTF3L42",1.77092956857069e-14,0.554730708344119,0.807,0.516,3.88736749596953e-10,"4","BTF3L4"
"CHD81",1.77500405084091e-14,0.791846899532388,0.431,0.196,3.89631139200089e-10,"4","CHD8"
"ATXN23",1.79022368630546e-14,0.836485067924928,0.535,0.278,3.92972001380911e-10,"4","ATXN2"
"MED30",1.8148128142105e-14,0.745611118234205,0.584,0.308,3.98369560847347e-10,"4","MED30"
"UNG1",1.83039222915314e-14,1.78683461138573,0.322,0.137,4.01789398221405e-10,"4","UNG"
"GALE1",1.88344340966038e-14,1.07650174532247,0.381,0.169,4.1343466285455e-10,"4","GALE"
"PLPPR13",1.88500133733145e-14,1.48644193824514,0.332,0.14,4.13776643557626e-10,"4","PLPPR1"
"EBNA1BP23",1.8888461604504e-14,0.748967037753106,0.639,0.371,4.14620620680468e-10,"4","EBNA1BP2"
"LINC01563",1.90380470570603e-14,1.82606869535793,0.163,0.045,4.17904170949531e-10,"4","LINC01563"
"SEPTIN3",1.92028256213135e-14,1.69116579014149,0.168,0.047,4.21521225213453e-10,"4","SEPTIN3"
"ZNF5771",1.93552587354781e-14,0.888510803672549,0.356,0.148,4.24867284502481e-10,"4","ZNF577"
"PHC21",1.95198599368599e-14,0.597547112685459,0.861,0.578,4.28480445474011e-10,"4","PHC2"
"RBM141",1.96413235176908e-14,0.780798313165808,0.411,0.181,4.31146692536832e-10,"4","RBM14"
"ZNF5741",1.96462723233639e-14,1.06665756104993,0.267,0.096,4.31255323770162e-10,"4","ZNF574"
"ELP62",1.97073781957889e-14,0.938448602838832,0.48,0.237,4.32596658775762e-10,"4","ELP6"
"AC005670.32",1.98297256648881e-14,0.632959191452158,0.386,0.163,4.35282308069958e-10,"4","AC005670.3"
"GATAD2A1",1.99387633977645e-14,0.938106538398507,0.515,0.261,4.37675795344328e-10,"4","GATAD2A"
"STOML22",1.99442696654568e-14,0.697388403749648,0.713,0.433,4.37796663426441e-10,"4","STOML2"
"WDR83OS1",2.02025862046818e-14,0.48448262176002,0.926,0.712,4.43466969778971e-10,"4","WDR83OS"
"AK62",2.03343051084521e-14,0.664296598803533,0.688,0.416,4.46358331435633e-10,"4","AK6"
"PMF11",2.07353805577898e-14,0.838540515899752,0.614,0.346,4.55162338624045e-10,"4","PMF1"
"TMEM1381",2.08908915927359e-14,1.2561072084893,0.327,0.131,4.58575961352147e-10,"4","TMEM138"
"PARD31",2.11571922872528e-14,1.45840718828526,0.193,0.058,4.64421527897485e-10,"4","PARD3"
"PDZD112",2.14209615292819e-14,0.695854631883476,0.609,0.335,4.70211526529268e-10,"4","PDZD11"
"THSD7A2",2.14471397401392e-14,1.26160367968392,0.342,0.143,4.70786164435796e-10,"4","THSD7A"
"AC067852.3",2.14711544221417e-14,1.5126037633633,0.144,0.035,4.71313310720433e-10,"4","AC067852.3"
"FAM200B2",2.20704847769002e-14,0.837962204073602,0.599,0.329,4.84469211337736e-10,"4","FAM200B"
"TUT43",2.22504221537459e-14,0.779021279575496,0.525,0.269,4.88419016696877e-10,"4","TUT4"
"GGNBP21",2.24893469337464e-14,0.585277515034752,0.723,0.445,4.93663654542668e-10,"4","GGNBP2"
"MDH12",2.29224634075289e-14,0.580220303698209,0.847,0.543,5.03170994258667e-10,"4","MDH1"
"MRPL383",2.31996720118208e-14,0.6801114341179,0.624,0.351,5.09256000331479e-10,"4","MRPL38"
"DNM12",2.32911901115301e-14,1.03876472523472,0.327,0.132,5.11264914138196e-10,"4","DNM1"
"TIMM222",2.4818103014929e-14,0.970767229501386,0.455,0.226,5.44782179280706e-10,"4","TIMM22"
"PDCL2",2.48721219140888e-14,0.743402319929793,0.485,0.237,5.45967948136162e-10,"4","PDCL"
"DSCC11",2.50550558366769e-14,1.52655421366931,0.228,0.077,5.49983530670896e-10,"4","DSCC1"
"FNBP41",2.53331892334536e-14,0.650425983030304,0.614,0.354,5.56088836863539e-10,"4","FNBP4"
"ZHX12",2.60019091795728e-14,0.634210896449154,0.569,0.294,5.70767908400803e-10,"4","ZHX1"
"RACK11",2.6125578375469e-14,0.285686602950355,0.995,0.928,5.73482570919921e-10,"4","RACK1"
"GSTM32",2.66633249392284e-14,0.765787261345698,0.54,0.282,5.85286645741002e-10,"4","GSTM3"
"NF21",2.72363803105453e-14,1.01056004452697,0.347,0.146,5.9786578419678e-10,"4","NF2"
"DLD2",2.73242263650458e-14,0.593883436391565,0.609,0.326,5.99794092939121e-10,"4","DLD"
"SORT11",2.74927876657207e-14,0.357218234174639,0.644,0.345,6.03494182050235e-10,"4","SORT1"
"FAM133B",2.77026730392023e-14,0.592195417448677,0.787,0.517,6.0810137588353e-10,"4","FAM133B"
"ACADM2",2.79156433654928e-14,0.623705439824119,0.604,0.337,6.12776287515932e-10,"4","ACADM"
"PMEPA1",2.82405620241168e-14,0.593287665423976,0.594,0.31,6.19908576991388e-10,"4","PMEPA1"
"PCNP2",2.82946710397191e-14,0.6283953586901,0.842,0.564,6.21096323992875e-10,"4","PCNP"
"SRSF61",2.84433375273687e-14,0.657288447086311,0.782,0.516,6.24359702063269e-10,"4","SRSF6"
"PRADC12",2.91910661820095e-14,0.79438619776492,0.48,0.238,6.4077309376129e-10,"4","PRADC1"
"CAND2",2.94774632767287e-14,1.67737590621243,0.104,0.02,6.47059796387473e-10,"4","CAND2"
